city,propertyType,livingArea,lotSize,yearBuilt,Prezzo Reale,Prezzo Predetto
Spokane,singleFamily,2409.0,6534.0,1910.0,374999,469228
Colorado Springs,singleFamily,2406.0,7649.136,1979.0,450000,515495
Corpus Christi,singleFamily,3460.0,10498.0,1940.0,815000,448542
Boise City,singleFamily,2342.0,22651.2,2020.0,1125000,638104
Wichita,singleFamily,1814.0,6969.6,1954.0,125000,255553
Oxnard,singleFamily,1465.0,4336.0,1950.0,650000,657757
Tacoma,singleFamily,1279.0,5998.212,1958.0,300000,447335
Minneapolis,singleFamily,2824.0,6098.4,1942.0,524927,492742
Omaha,singleFamily,1232.0,4356.0,1962.0,235000,315500
Henderson,condo,1459.0,30574.0,2009.0,435000,371650
Detroit,singleFamily,3150.0,5227.2,1935.0,160000,271103
Corpus Christi,singleFamily,1950.0,8372.0,1980.0,220000,328128
Fayetteville,singleFamily,2682.0,16988.4,2000.0,399999,365959
North Las Vegas,singleFamily,1426.0,4791.6,2022.0,429900,414057
Sacramento,singleFamily,1409.0,6534.0,1955.0,334950,528173
Minneapolis,singleFamily,4800.0,6534.0,1887.0,399900,738782
Anaheim,singleFamily,2126.0,10800.0,1963.0,1400000,897747
Austin,singleFamily,2612.0,7514.1,2017.0,439000,591558
San Jose,singleFamily,1300.0,5662.8,1971.0,1148888,1006475
Seattle,singleFamily,1800.0,5898.024,1959.0,629000,800576
Plano,singleFamily,3200.0,10890.0,1989.0,749000,601220
San Antonio,singleFamily,2418.0,10890.0,1954.0,699000,341231
San Francisco,singleFamily,1534.0,2482.92,1941.0,998000,914516
Wichita,singleFamily,2294.0,10890.0,1989.0,280000,303583
Little Rock,singleFamily,2149.0,8712.0,1991.0,375000,361172
Hialeah,singleFamily,3190.0,8625.0,1986.0,985000,854130
Lincoln,singleFamily,1042.0,6969.6,1951.0,185000,278193
Minneapolis,multiFamily,2432.0,10890.0,1900.0,335000,325438
Akron,singleFamily,2190.0,8398.368,1932.0,285000,292295
San Francisco,condo,1450.0,2500.344,1907.0,1395000,662596
Riverside,singleFamily,1330.0,8276.0,1960.0,600000,524993
Hialeah,singleFamily,2227.0,7500.0,1956.0,769900,642883
Detroit,singleFamily,7056.0,16988.4,1915.0,1899000,691291
Lincoln,singleFamily,3602.0,8712.0,2015.0,615000,577992
Louisville/Jefferson County,singleFamily,960.0,7840.8,1959.0,189000,272709
Plano,singleFamily,2162.0,11325.6,1978.0,379980,457278
Louisville/Jefferson County,singleFamily,2176.0,13503.6,1948.0,400000,362319
Garland,singleFamily,1395.0,9888.12,1950.0,150000,288069
Cleveland,singleFamily,1264.0,6054.84,1955.0,129900,198001
Henderson,townhome,1263.0,2178.0,1997.0,299000,380822
Colorado Springs,singleFamily,3318.0,14945.436000000002,1994.0,595000,660974
Plano,singleFamily,1573.0,7405.2,1971.0,349900,391055
Henderson,singleFamily,1981.0,7840.8,1990.0,449900,527250
San Francisco,singleFamily,1328.0,2500.344,1946.0,998888,875724
Scottsdale,singleFamily,2441.0,6900.0,1997.0,995000,1024906
Seattle,singleFamily,3140.0,4081.572,1924.0,1395000,1057327
Riverside,singleFamily,2340.0,7405.0,1988.0,790000,703512
Dallas,singleFamily,1434.0,7013.16,1940.0,764900,397570
Greensboro,singleFamily,2942.0,24829.199999999997,1994.0,550000,468097
Chandler,singleFamily,1339.0,5576.0,1983.0,391500,496473
Seattle,singleFamily,1740.0,2347.884,1996.0,1099950,834627
Tacoma,singleFamily,1180.0,3001.284,1896.0,425000,397082
Anchorage,singleFamily,1900.0,7840.8,1976.0,380000,493779
Lincoln,singleFamily,2667.0,8276.4,2010.0,475000,455111
Colorado Springs,singleFamily,2253.0,6891.192,2017.0,530000,525994
Philadelphia,townhome,884.0,480.0,1920.0,214900,255300
Chula Vista,singleFamily,1800.0,11325.6,1978.0,599000,732473
Mesa,singleFamily,2161.0,7020.0,2004.0,550000,579754
