city,propertyType,livingArea,lotSize,yearBuilt,Prezzo Reale,Prezzo Predetto
Sacramento,singleFamily,2728.0,5832.684,2016.0,1399500,803502
Oklahoma City,singleFamily,2871.0,4926.636,1972.0,295000,389215
Oakland,condo,1195.0,30927.6,2008.0,569000,584734
Glendale,manufactured,1433.0,9640.0,1973.0,179000,187753
Kansas City,singleFamily,1998.0,49658.399999999994,1964.0,358000,342618
Tampa,singleFamily,4485.0,9750.0,1999.0,1875000,917243
Charlotte,singleFamily,3183.0,16117.199999999999,1987.0,825000,730686
Mesa,singleFamily,2952.0,6318.0,2024.0,675000,726975
Riverside,singleFamily,1224.0,6534.0,1953.0,565000,505965
Fresno,singleFamily,1190.0,7501.032,1963.0,359900,348962
Minneapolis,singleFamily,2502.0,0.12,1909.0,325000,432646
Moreno Valley,singleFamily,1316.0,7405.0,1985.0,547000,477796
Wichita,singleFamily,2236.0,20037.599999999995,1975.0,259900,292924
Minneapolis,singleFamily,1495.0,5227.2,1942.0,320000,354639
Montgomery,singleFamily,2149.0,10890.0,1953.0,104900,276350
Corpus Christi,singleFamily,1585.0,6721.0,1989.0,244999,303938
Buffalo,singleFamily,1494.0,10454.4,1945.0,239900,295537
New Orleans,singleFamily,1870.0,5950.0,1956.0,335000,424363
Omaha,singleFamily,3712.0,9147.6,1992.0,499900,610139
Portland,singleFamily,2584.0,10018.8,1956.0,825000,722045
Oakland,singleFamily,1397.0,5227.2,1948.0,1095000,719882
Boise City,singleFamily,1620.0,10585.08,1959.0,379900,486239
Oxnard,singleFamily,1570.0,6080.0,1949.0,789500,674040
Miami,singleFamily,1612.0,8000.0,1974.0,699999,717910
Las Vegas,singleFamily,1418.0,7840.8,1955.0,390000,389515
Austin,singleFamily,2019.0,12000.78,1978.0,1495000,481282
Fontana,singleFamily,1338.0,3600.0,1986.0,569999,549818
Colorado Springs,singleFamily,4216.0,23539.824,1998.0,815000,830509
Lincoln,singleFamily,2372.0,7405.2,1990.0,375000,410346
Austin,singleFamily,1738.0,43734.24,1980.0,550000,450306
Pittsburgh,singleFamily,1998.0,92782.79999999999,1965.0,524899,373227
Toledo,singleFamily,1743.0,13899.996,1942.0,149900,233426
Shreveport,singleFamily,2064.0,6708.24,1954.0,130000,280013
Riverside,singleFamily,1752.0,12631.999999999998,1959.0,799000,581892
Lubbock,singleFamily,2919.0,43560.0,2022.0,599999,388988
Tucson,singleFamily,2100.0,8276.4,1957.0,314999,450178
Henderson,townhome,1464.0,3049.2,1999.0,390000,401468
Baltimore,singleFamily,2128.0,9374.0,1926.0,365000,337021
Hialeah,singleFamily,2881.0,4895.0,1993.0,725000,799757
Tampa,singleFamily,1569.0,12069.999999999998,1952.0,575000,414877
Irvine,townhome,1443.0,1500.0,1990.0,929888,962907
Baton Rouge,singleFamily,1250.0,718.74,1980.0,129800,354830
Jacksonville,singleFamily,2344.0,5662.8,1953.0,275000,394274
Oakland,multiFamily,2400.0,3206.016,1912.0,249000,677672
Toledo,singleFamily,1413.0,10798.524,1952.0,219900,218431
San Jose,singleFamily,2619.0,6720.0,2012.0,2898000,1485081
Modesto,singleFamily,1516.0,5401.44,1997.0,355000,469792
Tacoma,singleFamily,3130.0,14701.500000000002,1986.0,1395000,738128
Henderson,singleFamily,2222.0,10018.8,1979.0,615000,550329
Los Angeles,singleFamily,3426.0,7775.46,1955.0,3495000,1290129
Colorado Springs,singleFamily,1728.0,7623.0,1955.0,399900,420185
San Bernardino,singleFamily,1474.0,25500.0,1957.0,556000,450697
Lubbock,singleFamily,1375.0,6098.4,2011.0,230000,261049
Hialeah,singleFamily,1000.0,6750.0,1959.0,599000,476706
Tucson,singleFamily,1595.0,8276.4,1952.0,635000,394270
Las Vegas,singleFamily,2814.0,7840.8,2001.0,635000,590287
Detroit,singleFamily,2150.0,5227.2,1959.0,139900,219571
Columbus,singleFamily,1344.0,16552.8,1986.0,315000,330847
Garland,singleFamily,2109.0,16596.36,2015.0,419900,379607
Plano,singleFamily,2960.0,14810.399999999996,1990.0,824950,567415
San Bernardino,singleFamily,2056.0,8840.0,1961.0,549990,523717
San Jose,singleFamily,1198.0,5758.632,1959.0,990000,963569
Gilbert,singleFamily,5172.0,21448.999999999996,2014.0,2250000,1281243
Irving,townhome,1156.0,189485.99999999997,1972.0,185000,283516
Austin,singleFamily,1891.0,10702.692,1983.0,569900,469850
San Francisco,multiFamily,3825.0,2247.696,1911.0,2195000,1194962
San Bernardino,singleFamily,3997.0,16035.0,2006.0,925000,906863
Omaha,singleFamily,1608.0,11761.2,1958.0,145000,344155
Tacoma,singleFamily,2100.0,5201.064,1888.0,750000,492550
Winston-Salem,singleFamily,2235.0,15681.599999999999,1962.0,599900,350386
Plano,singleFamily,2005.0,3920.4,1993.0,475000,450047
Philadelphia,multiFamily,1760.0,1801.0,1960.0,499999,306429
Oxnard,singleFamily,1333.0,6098.0,1948.0,699900,634675
Laredo,singleFamily,3060.0,466754.11199999996,2017.0,1350000,452485
Winston-Salem,singleFamily,2562.0,23958.000000000004,1948.0,715000,371880
Hialeah,singleFamily,2406.0,4029.0,2018.0,685000,738732
Oklahoma City,singleFamily,1096.0,5405.796,1981.0,79900,254325
Kansas City,singleFamily,2088.0,10018.8,2009.0,430000,375272
Phoenix,singleFamily,1800.0,8184.0,1983.0,425000,519088
Jacksonville,singleFamily,1776.0,10890.0,1963.0,365000,347841
Buffalo,singleFamily,1042.0,7840.8,1952.0,209900,267102
Austin,singleFamily,3455.0,14988.995999999996,1980.0,1649999,688744
Riverside,singleFamily,1038.0,6970.0,1952.0,575000,482466
Tulsa,singleFamily,1846.0,9888.12,1975.0,310000,291787
Colorado Springs,singleFamily,3768.0,8215.416,2006.0,675000,752505
Anaheim,singleFamily,1600.0,6000.0,1968.0,899000,794220
Greensboro,singleFamily,1886.0,10018.800000000001,1989.0,369900,357713
Buffalo,multiFamily,1832.0,3049.2,1926.0,239000,242201
Louisville/Jefferson County,singleFamily,5109.0,10890.0,2001.0,690000,811825
Milwaukee,singleFamily,8544.0,165528.0,1890.0,4900000,1656683
Wichita,singleFamily,2213.0,9147.6,1949.0,325000,279928
Indianapolis,singleFamily,1625.0,15245.999999999998,1959.0,264900,274039
Albuquerque,singleFamily,2311.0,6098.4,1995.0,400000,465238
Santa Ana,singleFamily,2133.0,1723.0,2017.0,980000,883751
Oxnard,singleFamily,1454.0,6098.0,1971.0,649999,677342
Birmingham,singleFamily,9714.0,74052.0,2006.0,2599000,2275012
Spokane,singleFamily,4612.0,23086.800000000003,2020.0,1360000,957386
Moreno Valley,singleFamily,2312.0,2880.0,2021.0,588000,645896
Seattle,singleFamily,2070.0,6599.34,1948.0,1299900,841639
Boston,condo,574.0,574.0,1900.0,799000,408633
Shreveport,singleFamily,4009.0,17123.436,1985.0,699000,475082
Fresno,singleFamily,1814.0,8999.496,1957.0,379950,403518
Laredo,singleFamily,1290.0,5497.272,2009.0,182000,288619
Spokane,singleFamily,1584.0,5662.8,1928.0,275000,393237
Greensboro,singleFamily,1393.0,20473.199999999997,1977.0,290000,310876
Chandler,singleFamily,2492.0,9762.0,1995.0,799000,672619
Pittsburgh,singleFamily,1812.0,23522.4,1940.0,315000,343118
Birmingham,singleFamily,5482.0,44866.8,2005.0,1499000,797085
Buffalo,singleFamily,1664.0,11600.027999999998,1962.0,295500,316341
Tacoma,singleFamily,1640.0,5710.716,1950.0,390000,483200
Portland,singleFamily,2728.0,3920.4,1912.0,799000,699626
Indianapolis,singleFamily,3270.0,17859.6,1941.0,239900,400562
Greensboro,singleFamily,2124.0,47044.8,1976.0,329900,371940
Baton Rouge,singleFamily,2484.0,18295.2,1972.0,229000,475696
New Orleans,singleFamily,3315.0,5998.212,2007.0,595000,655932
Jacksonville,singleFamily,2209.0,12196.799999999996,1963.0,288000,387184
Cincinnati,singleFamily,2067.0,21867.12,1885.0,619900,386877
Washington,townhome,1053.0,1821.0,1900.0,1098750,459597
Tampa,singleFamily,2227.0,7150.0,1998.0,439990,523776
Detroit,singleFamily,1775.0,3920.4,1936.0,99900,193206
Fort Worth,singleFamily,2948.0,6795.36,1986.0,290000,362574
Minneapolis,singleFamily,2621.0,9147.6,1952.0,415000,475808
Anaheim,singleFamily,1655.0,1655.0,1971.0,1150000,808805
Tulsa,singleFamily,2043.0,9844.56,2010.0,339000,323183
North Las Vegas,singleFamily,1650.0,6969.6,2003.0,420000,425142
Oakland,singleFamily,2621.0,8712.0,1962.0,1195000,995617
Milwaukee,singleFamily,2250.0,6098.4,1949.0,254999,381951
Pittsburgh,singleFamily,3133.0,32670.0,1956.0,464000,487554
Reno,singleFamily,1956.0,17424.0,1958.0,775000,606971
Columbus,singleFamily,2755.0,8276.4,2000.0,519999,479250
Spokane,singleFamily,3647.0,6534.0,1955.0,830000,682777
Irvine,singleFamily,3625.0,5000.0,2025.0,2988800,2042087
Gilbert,singleFamily,3532.0,13169.999999999998,2016.0,1150000,856454
Houston,singleFamily,4900.0,9679.032,1983.0,445000,699017
Philadelphia,singleFamily,1846.0,5541.0,1980.0,375000,415911
Sacramento,singleFamily,1068.0,5662.8,1926.0,485000,464405
Reno,singleFamily,2904.0,15681.599999999999,2004.0,1300000,823302
Columbus,condo,1064.0,871.2,1988.0,225000,241269
Houston,singleFamily,2408.0,9317.484,1971.0,315950,370428
Montgomery,singleFamily,2198.0,16117.199999999999,1966.0,206000,285328
Oklahoma City,singleFamily,2357.0,43995.6,2007.0,415000,361523
Albuquerque,singleFamily,1735.0,9583.2,1952.0,399000,377792
Tacoma,singleFamily,3083.0,10188.684,1998.0,859900,743089
Winston-Salem,singleFamily,1583.0,10454.4,2003.0,309900,317442
Kansas City,singleFamily,1504.0,6098.0,1929.0,325000,287430
Milwaukee,singleFamily,1392.0,3484.8,1909.0,235000,290583
Garland,singleFamily,1576.0,4051.08,1986.0,214900,318292
Madison,singleFamily,1920.0,6534.0,1909.0,750000,414648
Cincinnati,singleFamily,1776.0,8058.6,1977.0,289000,414299
Columbus,singleFamily,1720.0,3484.8,1920.0,479900,328305
Greensboro,singleFamily,2368.0,13939.2,1971.0,294500,392102
Glendale,singleFamily,1627.0,34965.0,1955.0,450000,371215
Fort Worth,singleFamily,1783.0,9801.0,1962.0,269900,261982
Milwaukee,singleFamily,1465.0,9583.2,1953.0,115000,316440
Columbus,singleFamily,1534.0,7405.2,1979.0,375000,343091
Madison,singleFamily,1070.0,4356.0,1894.0,480000,328383
Dallas,singleFamily,3609.0,12632.4,1995.0,985000,740697
Corpus Christi,singleFamily,2046.0,7215.0,2002.0,300000,347497
San Francisco,singleFamily,1515.0,3358.0,1924.0,899000,886901
Columbus,singleFamily,1787.0,6969.6,1999.0,197600,376586
Bakersfield,condo,1357.0,1306.8,1980.0,288000,305121
Tampa,singleFamily,1502.0,15999.999999999998,1972.0,575000,420707
Hialeah,singleFamily,1173.0,7592.508,1967.0,675000,503673
Arlington,singleFamily,1572.0,7797.24,1956.0,295000,317361
Boston,singleFamily,1520.0,3000.0,1991.0,580000,761583
Des Moines,singleFamily,1038.0,8712.0,1904.0,164900,232881
Indianapolis,singleFamily,1292.0,5662.8,1997.0,234000,267441
Philadelphia,singleFamily,2537.0,4356.0,1880.0,825000,423596
Little Rock,townhome,1752.0,3484.8,2017.0,318900,290749
Wichita,singleFamily,2511.0,13939.2,1950.0,350000,301811
Philadelphia,townhome,1110.0,1656.0,1925.0,109900,272055
Seattle,singleFamily,2600.0,6050.484,1956.0,1575000,971388
Fontana,singleFamily,1329.0,9300.0,1954.0,425000,522430
Albuquerque,singleFamily,1500.0,4791.6,1947.0,275000,353739
Fontana,singleFamily,1354.0,8100.0,1962.0,450000,532133
Minneapolis,singleFamily,1975.0,5227.2,1910.0,285000,380324
Stockton,singleFamily,1088.0,6446.88,1970.0,300000,373837
Garland,singleFamily,1800.0,10890.0,1969.0,249900,327811
Dallas,singleFamily,8343.0,18295.2,2023.0,4475000,2494537
Santa Ana,condo,1455.0,413806.93200000003,1974.0,399999,544942
Irving,singleFamily,2982.0,11064.24,1966.0,525000,517273
Riverside,singleFamily,1769.0,9583.0,1964.0,659900,588826
Seattle,singleFamily,1480.0,6072.264,1954.0,915000,733998
St. Petersburg,singleFamily,1304.0,5232.0,1947.0,799000,428137
Scottsdale,singleFamily,3201.0,10212.0,1989.0,1698888,1221962
Rochester,singleFamily,1561.0,9583.2,1960.0,199900,259620
Houston,singleFamily,2312.0,9134.0,1970.0,250000,361179
Arlington,singleFamily,1628.0,7187.4,1978.0,345000,332783
Oakland,multiFamily,2536.0,3484.8,1910.0,399999,698730
Gilbert,singleFamily,1597.0,10489.0,1994.0,599900,513042
Albuquerque,singleFamily,1780.0,8276.4,1946.0,295000,378539
Huntington Beach,singleFamily,1890.0,1503.0,1974.0,1698000,1111751
Scottsdale,singleFamily,2105.0,10138.0,1980.0,1100000,918962
Yonkers,singleFamily,3444.0,12196.999999999998,1919.0,849000,790758
Chandler,singleFamily,2561.0,2983.0,2015.0,550000,705426
Louisville/Jefferson County,singleFamily,1471.0,8712.0,1958.0,217000,308998
Denver,singleFamily,1419.0,4467.0,1962.0,399900,597940
North Las Vegas,singleFamily,2494.0,7840.8,2023.0,640000,540138
Chandler,singleFamily,5665.0,22144.000000000004,2023.0,2700000,1539384
Huntington Beach,singleFamily,2413.0,2938.0,1979.0,1750000,1275063
Glendale,singleFamily,1808.0,12521.999999999998,1978.0,450000,402109
Seattle,singleFamily,1730.0,5758.632,1907.0,425500,726768
Denver,singleFamily,3030.0,6250.0,1927.0,1500000,844477
El Paso,singleFamily,1972.0,5227.2,1994.0,259999,321252
Stockton,singleFamily,1222.0,2500.344,1955.0,199000,377693
Arlington,singleFamily,1466.0,8537.76,1970.0,295000,315823
Indianapolis,singleFamily,3028.0,6534.0,2006.0,650000,416650
Albuquerque,singleFamily,1738.0,10890.0,1985.0,385000,397610
Seattle,singleFamily,2360.0,7967.124,1946.0,1479000,901501
Phoenix,singleFamily,1782.0,6260.0,1976.0,735000,511288
Irvine,condo,1704.0,17572.999999999996,2015.0,1688000,974114
Modesto,singleFamily,1515.0,3432.528,1989.0,445000,463974
San Antonio,singleFamily,2400.0,6708.24,1994.0,325000,361112
Anaheim,singleFamily,1278.0,7039.0,1954.0,899000,717876
Baton Rouge,singleFamily,3584.0,18534.78,1980.0,325000,632203
Columbus,singleFamily,2207.0,10018.8,1949.0,689900,387119
Oxnard,singleFamily,2578.0,8138.0,1956.0,949000,874302
Denver,singleFamily,1898.0,6098.4,1940.0,675000,650950
